X,Y,Name,description,altitudeMode,ADDRESS,PKNRD,LONGNAME,LINES,STATION_ID,POINT_X,POINT_Y,ADA,GTFS,Field_1,Latitude,Longitude,Accuracy Score,Zip
-87.62588147,41.83167802,35-Bronzeville-IIT,,clampToGround,16 E. 35th Street,No,35-Bronzeville-IIT,Green Line,1120,1177050.915,1882047.587,ADA Accessible,41120,35-Bronzeville-IIT,41.831937,-87.626128,1,60616
-87.65920228,41.99366426,Granville,,clampToGround,1119 W. Granville Avenue,No,Granville,Red Line,760,1167506.039,1941002.514,ADA Accessible,40760,Granville,41.993709,-87.659164,1,60660
-87.65326645,41.9360326,Wellington,,clampToGround,945 W. Wellington Avenue,No,Wellington,"Brown, Purple (Express)",1210,1169286.335,1920014.046,ADA Accessible,41210,Wellington,41.936057,-87.653372,1,60657
-87.75191863,42.03895069,Dempster-Skokie,,clampToGround,5001 W. Dempster Street,Yes,Dempster-Skokie,Yellow Line,140,1142189.799,1957320.432,ADA Accessible,40140,Dempster-Skokie,42.038738,-87.75263,1,60077
-87.62944006,41.88316443,Washington,,clampToGround,19 N. Dearborn,No,Washington/Dearborn,Blue Line,370,1175927.284,1900801.153,Not ADA  Accessible,40370,Washington,41.882879,-87.629682,1,60602
-87.68850261,41.96625005,Western,,clampToGround,4645 N. Western Avenue,No,Western-Ravenswood,Brown Line,1480,1159616.195,1930951.298,ADA Accessible,41480,Western,41.966346,-87.688475,1,60625
-87.67473611,41.94702865,Addison,,clampToGround,1818 W. Addison Street,No,Addison-Ravenswood,Brown Line,1440,1163413.938,1923975.429,ADA Accessible,41440,Addison,41.947099,-87.67462,1,60613
-87.67863488,41.96641097,Damen,,clampToGround,4643 N. Damen Avenue,No,Damen-Ravenswood,Brown Line,90,1162299.355,1931030.291,ADA Accessible,40090,Damen,41.966487,-87.678691,1,60625
-87.63173383,41.87685533,LaSalle/Van Buren,,clampToGround,121 W. Van Buren Street,No,LaSalle/Van Buren,"Brown, Orange, Pink, Purple (Express)",160,1175321.457,1898497.01,Not ADA  Accessible,40160,LaSalle/Van Buren,41.876644,-87.631479,1,60605
-87.62747912,41.87403924,Harrison,,clampToGround,608 S. State Street,No,Harrison,Red Line,1490,1176488.619,1897480.331,Not ADA  Accessible,41490,Harrison,41.873914,-87.62745,1,60605
-87.79378335,41.88698752,Oak Park,,clampToGround,100 S. Oak Park Avenue,No,Oak Park-Lake,Green Line (Lake),1350,1131166.01,1901870.067,Not ADA  Accessible,41350,Oak Park,41.887058,-87.793881,1,60302
-87.66695094,41.88531139,Ashland,,clampToGround,1601 W. Lake Street,No,Ashland-Lake,"Green (Lake), Pink",170,1165706.564,1901501.957,ADA Accessible,40170,Ashland,41.88558,-87.667231,1,60612
-87.64757831,41.89118929,Grand,,clampToGround,502 N. Milwaukee Avenue,No,Grand/Milwaukee,Blue Line (O'Hare),490,1170964.659,1903685.42,Not ADA  Accessible,40490,Grand,41.890911,-87.647438,1,60654
