Geography Type,Year,Geography,Population - Total,Population - Age 0-17,Population - Age 18-29,Population - Age 30-39,Population - Age 40-49,Population - Age 50-59,Population - Age 60-69,Population - Age 70-79,Population - Age 80+,Population - Age 12-17,Population - Age 18+,Population - Age 65+,Population - Female,Population - Male,Population - Latinx,Population - Asian Non-Latinx,Population - Black Non-Latinx,Population - White Non-Latinx,Population - Other Race Non-Latinx,Record ID,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source,ZIP+4 Range Start,ZIP+4 Range End (or blank if no range),ZIP 9 Range Start,ZIP 9 Range End (or blank if no range),Record Type Code,Record Type Description,Carrier Route ID,Carrier Route Description,Building or Firm Name,Government Building Code,Government Building Description,Facility Code,Facility Description,City Delivery?,Valid delivery area?,Exact Match?
Citywide,2019,Chicago,2693959,555424,526788,469300,340219,294864,261009,157790,88565,180859,2138535,362629,1382528,1311431,776290,184768,768524,901941,62436,Citywide-Chicago-2019,41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60601,15083,880,5207,2796,2090,970,1733,1154,253,199,14203,2109,8054,7029,1224,2859,638,9939,423,ZIP_Code-60601-2019,41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60602,1145,149,207,527,180,66,16,0,0,0,996,6,506,639,74,245,49,680,97,ZIP_Code-60602-2019,41.883073,-87.629149,1,place,,,,,Chicago,IL,Cook County,60602,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60603,1052,16,498,131,76,174,85,72,0,11,1036,120,529,523,34,337,34,640,7,ZIP_Code-60603-2019,41.880188,-87.62551,1,place,,,,,Chicago,IL,Cook County,60603,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60604,823,36,325,159,55,91,103,45,9,19,787,72,431,392,28,240,41,514,0,ZIP_Code-60604-2019,41.878095,-87.628461,1,place,,,,,Chicago,IL,Cook County,60604,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60605,29060,2411,8519,7270,3621,3180,2165,1445,449,390,26649,2923,15928,13132,2185,4377,4270,16865,1363,ZIP_Code-60605-2019,41.867567,-87.617228,1,place,,,,,Chicago,IL,Cook County,60605,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60606,3287,119,660,1096,483,342,479,108,0,0,3168,378,1606,1681,188,667,58,2206,168,ZIP_Code-60606-2019,41.882066,-87.637349,1,place,,,,,Chicago,IL,Cook County,60606,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60607,29293,3141,11280,7216,3107,2154,1403,651,341,542,26152,1544,14563,14730,2151,6304,4168,15719,951,ZIP_Code-60607-2019,41.874932,-87.651596,1,place,,,,,Chicago,IL,Cook County,60607,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60608,80059,14812,20455,14507,10292,8176,6705,3266,1846,4449,65247,7939,35599,44460,38984,9914,13326,16955,880,ZIP_Code-60608-2019,41.846223,-87.672388,1,place,,,,,Chicago,IL,Cook County,60608,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60609,60939,15773,12444,8167,7597,6735,5442,3723,1058,4998,45166,7373,30782,30157,32291,3792,15015,9232,609,ZIP_Code-60609-2019,41.81268,-87.656935,1,place,,,,,Chicago,IL,Cook County,60609,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60610,40548,3716,11990,9127,3566,3454,4325,3148,1222,1041,36832,6537,21529,19019,2526,3532,5880,27468,1142,ZIP_Code-60610-2019,41.906844,-87.63194,1,place,,,,,Chicago,IL,Cook County,60610,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60611,33224,1856,7778,7168,2693,4066,4806,3344,1513,446,31368,7142,17716,15508,1573,6156,967,23769,759,ZIP_Code-60611-2019,41.8957,-87.613775,1,place,,,,,Chicago,IL,Cook County,60611,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60612,33735,7837,7330,5921,4020,3695,2842,1363,727,2431,25898,3325,17781,15954,4056,1449,19873,7629,728,ZIP_Code-60612-2019,41.88032,-87.687749,1,place,,,,,Chicago,IL,Cook County,60612,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60613,50761,5885,14036,13315,5534,5059,3409,2080,1443,1178,44876,4904,25108,25653,5645,3491,2985,37074,1566,ZIP_Code-60613-2019,41.956949,-87.654272,1,place,,,,,Chicago,IL,Cook County,60613,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
Zip Code,2019,60614,71954,10115,24583,14628,7458,5728,5230,2735,1477,2638,61839,6729,35273,36681,4438,5218,3016,57117,2165,ZIP_Code-60614-2019,41.922714,-87.649578,1,place,,,,,Chicago,IL,Cook County,60614,US,TIGER/Line® dataset from the US Census Bureau,,,,,,,,,,,,,,,,
